epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1418.3,0.74884,0.42969,1.06073,0.98681,0.97192,0.98594,0.82279,0.67424,0.32864,0.91276,0.008581,0.008581,0.008581
45,1451.72,0.74309,0.42975,1.05544,0.99451,0.97742,0.98846,0.83082,0.64738,0.31421,0.90533,0.008548,0.008548,0.008548
46,1484.12,0.74242,0.43136,1.06121,0.99422,0.96652,0.98547,0.80291,0.73671,0.33331,0.95594,0.008515,0.008515,0.008515
47,1516.09,0.7416,0.4265,1.05573,0.99348,0.97624,0.9858,0.82516,0.65852,0.31162,0.90943,0.008482,0.008482,0.008482
48,1549.03,0.73801,0.41893,1.04982,0.99449,0.97473,0.98657,0.83143,0.65576,0.29669,0.90461,0.008449,0.008449,0.008449
49,1577.69,0.73538,0.41814,1.05092,0.98907,0.97705,0.98508,0.82757,0.6416,0.30249,0.91003,0.008416,0.008416,0.008416
50,1605.96,0.72045,0.42011,1.04493,0.99271,0.97084,0.9858,0.83365,0.65091,0.30145,0.90279,0.008383,0.008383,0.008383
51,1634.49,0.72179,0.4107,1.04109,0.99206,0.97732,0.98543,0.82778,0.64792,0.30251,0.90783,0.00835,0.00835,0.00835
52,1662.86,0.72135,0.41612,1.0438,0.99015,0.97724,0.98625,0.82692,0.66329,0.30385,0.91966,0.008317,0.008317,0.008317
53,1691.09,0.71923,0.41217,1.04232,0.99235,0.98008,0.9858,0.82928,0.65012,0.30109,0.9086,0.008284,0.008284,0.008284
54,1719.11,0.71629,0.40597,1.0451,0.99232,0.97641,0.98859,0.84236,0.63814,0.29009,0.89702,0.008251,0.008251,0.008251
55,1747.55,0.72227,0.41269,1.04237,0.98974,0.98164,0.98643,0.83187,0.64597,0.30333,0.90612,0.008218,0.008218,0.008218
56,1777.83,0.71452,0.40535,1.04239,0.9945,0.97685,0.98531,0.81992,0.6601,0.30913,0.91557,0.008185,0.008185,0.008185
57,1806.4,0.70459,0.40356,1.03535,0.99341,0.97717,0.98672,0.84365,0.63558,0.29852,0.90849,0.008152,0.008152,0.008152
58,1835.08,0.70371,0.40704,1.03779,0.99117,0.9784,0.98626,0.83473,0.63535,0.29551,0.91205,0.008119,0.008119,0.008119
59,1863.3,0.70632,0.40583,1.04101,0.99014,0.97626,0.98669,0.83699,0.65137,0.29124,0.91992,0.008086,0.008086,0.008086
60,1891.54,0.71218,0.41312,1.04441,0.99126,0.98024,0.98621,0.84739,0.62858,0.29397,0.89585,0.008053,0.008053,0.008053
61,1920.03,0.70304,0.4013,1.03774,0.99349,0.97516,0.98625,0.84199,0.60566,0.28838,0.88988,0.00802,0.00802,0.00802
62,1948.62,0.70695,0.40305,1.03432,0.99562,0.98114,0.98645,0.84559,0.62266,0.29041,0.89022,0.007987,0.007987,0.007987
63,1977.07,0.70443,0.40017,1.04168,0.99453,0.9819,0.98801,0.84475,0.63693,0.29405,0.90198,0.007954,0.007954,0.007954
64,2005.65,0.70073,0.39734,1.02729,0.99194,0.97624,0.98684,0.85154,0.61199,0.30255,0.88944,0.007921,0.007921,0.007921
65,2033.8,0.69439,0.39744,1.02833,0.99416,0.98056,0.98648,0.84988,0.60407,0.28621,0.88479,0.007888,0.007888,0.007888
66,2061.66,0.68728,0.38911,1.02966,0.98867,0.98272,0.98819,0.85695,0.60254,0.28287,0.88322,0.007855,0.007855,0.007855
67,2090.16,0.68975,0.39226,1.02325,0.9967,0.97915,0.98698,0.85308,0.61589,0.28473,0.88245,0.007822,0.007822,0.007822
68,2119.81,0.6792,0.3904,1.0276,0.99126,0.98164,0.98784,0.84325,0.62001,0.28605,0.89314,0.007789,0.007789,0.007789
69,2149.81,0.68724,0.39157,1.03726,0.98625,0.973,0.98538,0.84128,0.6343,0.30916,0.89403,0.007756,0.007756,0.007756
70,2178.52,0.68877,0.39877,1.03677,0.99638,0.98164,0.98712,0.84762,0.6125,0.28345,0.8901,0.007723,0.007723,0.007723
71,2207.46,0.68297,0.38987,1.03179,0.99343,0.98023,0.9875,0.85138,0.61561,0.28064,0.88893,0.00769,0.00769,0.00769
72,2235.89,0.6805,0.38801,1.03159,0.99451,0.9789,0.98921,0.85401,0.60318,0.27971,0.88248,0.007657,0.007657,0.007657
73,2264.77,0.67137,0.38477,1.01705,0.99342,0.9789,0.98676,0.84732,0.61891,0.28665,0.88974,0.007624,0.007624,0.007624
74,2293.23,0.68545,0.38655,1.02628,0.99597,0.97732,0.98906,0.85576,0.60755,0.2787,0.88058,0.007591,0.007591,0.007591
75,2321.95,0.67566,0.38422,1.02081,0.99537,0.97516,0.98536,0.84771,0.60569,0.29037,0.88282,0.007558,0.007558,0.007558
76,2350.72,0.68052,0.38324,1.02293,0.98706,0.98056,0.98626,0.85034,0.60384,0.2764,0.87877,0.007525,0.007525,0.007525
77,2382.06,0.67298,0.37877,1.02772,0.99398,0.98056,0.98643,0.84951,0.59563,0.27664,0.88543,0.007492,0.007492,0.007492
78,2419.78,0.67498,0.38569,1.02287,0.99518,0.98164,0.98778,0.864,0.58048,0.26769,0.87045,0.007459,0.007459,0.007459
79,2453.33,0.6698,0.37576,1.01892,0.99382,0.98164,0.98681,0.85404,0.59169,0.27782,0.87791,0.007426,0.007426,0.007426
80,2487.87,0.66509,0.37589,1.01505,0.98664,0.98056,0.98681,0.85813,0.58335,0.27011,0.87564,0.007393,0.007393,0.007393
81,2523.8,0.67055,0.37445,1.02005,0.99562,0.98201,0.98816,0.86054,0.58535,0.26327,0.87601,0.00736,0.00736,0.00736
82,2559.13,0.66529,0.3777,1.02231,0.99236,0.98196,0.98893,0.85306,0.59281,0.26772,0.87466,0.007327,0.007327,0.007327
83,2595.79,0.66544,0.37481,1.01207,0.99087,0.98272,0.987,0.86157,0.57549,0.26361,0.87129,0.007294,0.007294,0.007294
84,2631.8,0.66913,0.3748,1.01919,0.99272,0.98272,0.98701,0.85219,0.58617,0.2661,0.87379,0.007261,0.007261,0.007261
85,2667.57,0.66324,0.37679,1.00888,0.99456,0.98164,0.9879,0.86115,0.5827,0.27027,0.87295,0.007228,0.007228,0.007228
86,2703.78,0.66195,0.37588,1.01569,0.99562,0.98231,0.98645,0.85566,0.58131,0.27229,0.87365,0.007195,0.007195,0.007195
87,2739.73,0.64319,0.36413,1.00699,0.99453,0.98103,0.98615,0.84779,0.60147,0.27807,0.87906,0.007162,0.007162,0.007162
88,2773.98,0.66193,0.37473,1.01899,0.99368,0.97732,0.98912,0.86097,0.57997,0.27476,0.87671,0.007129,0.007129,0.007129
89,2806.75,0.66945,0.37557,1.02854,0.99578,0.9784,0.98674,0.8618,0.5823,0.27306,0.87448,0.007096,0.007096,0.007096
90,2842.24,0.65785,0.37092,1.01108,0.99622,0.97948,0.98771,0.86624,0.56786,0.26414,0.86778,0.007063,0.007063,0.007063
91,2879.51,0.65587,0.37025,1.00735,0.99236,0.98196,0.98646,0.86099,0.57477,0.27078,0.8731,0.00703,0.00703,0.00703
92,2913.32,0.64904,0.37108,1.01102,0.99452,0.97959,0.98744,0.86626,0.57882,0.26997,0.87211,0.006997,0.006997,0.006997
93,2950.34,0.64975,0.36683,1.01166,0.99289,0.98164,0.98704,0.86047,0.58195,0.26233,0.87214,0.006964,0.006964,0.006964
94,2988.03,0.64745,0.36323,1.0072,0.99344,0.98185,0.98783,0.86397,0.57986,0.25832,0.86803,0.006931,0.006931,0.006931
95,3026.15,0.65195,0.36749,1.0101,0.99562,0.98249,0.98765,0.8655,0.55849,0.26766,0.8624,0.006898,0.006898,0.006898
96,3063.6,0.6451,0.36183,1.00839,0.99345,0.9827,0.98722,0.86209,0.5682,0.25919,0.86515,0.006865,0.006865,0.006865
97,3099.79,0.64383,0.36465,1.0096,0.99453,0.98183,0.98727,0.86958,0.55383,0.25025,0.86475,0.006832,0.006832,0.006832
98,3134.29,0.64728,0.3616,1.00655,0.99352,0.98056,0.98804,0.86667,0.56068,0.25531,0.86005,0.006799,0.006799,0.006799
99,3168.23,0.63508,0.35939,1.00846,0.99283,0.9838,0.98762,0.86513,0.55972,0.25676,0.86228,0.006766,0.006766,0.006766
100,3203.29,0.64205,0.35517,1.00768,0.99639,0.9838,0.98827,0.87274,0.55797,0.25024,0.86292,0.006733,0.006733,0.006733
101,3241.01,0.64,0.3532,1.00771,0.99563,0.98477,0.98891,0.87695,0.55221,0.25135,0.85722,0.0067,0.0067,0.0067
102,3274.54,0.64082,0.3579,1.00844,0.99543,0.98272,0.98767,0.86627,0.57413,0.25218,0.87187,0.006667,0.006667,0.006667
103,3308.54,0.64434,0.36229,1.00468,0.99612,0.98164,0.98752,0.86883,0.56043,0.25708,0.86794,0.006634,0.006634,0.006634
104,3342.38,0.63806,0.35615,1.00816,0.99671,0.98191,0.98829,0.8745,0.55166,0.2486,0.85797,0.006601,0.006601,0.006601
105,3378,0.64236,0.36008,1.01323,0.99651,0.98272,0.98987,0.86679,0.56931,0.253,0.86492,0.006568,0.006568,0.006568
106,3413.29,0.6361,0.3535,1.01014,0.99436,0.98272,0.98764,0.87352,0.55273,0.24937,0.86268,0.006535,0.006535,0.006535
107,3448.34,0.62867,0.34936,1.00993,0.99598,0.98272,0.988,0.87445,0.55414,0.24834,0.86005,0.006502,0.006502,0.006502
108,3482.47,0.63397,0.35909,1.01355,0.99454,0.98349,0.98775,0.86936,0.55426,0.25062,0.86274,0.006469,0.006469,0.006469
109,3515.42,0.6341,0.35334,1.00649,0.99885,0.98164,0.98835,0.87499,0.54844,0.24148,0.85706,0.006436,0.006436,0.006436
110,3549.12,0.62338,0.35245,1.00397,0.99602,0.9838,0.99174,0.87369,0.5456,0.24637,0.85789,0.006403,0.006403,0.006403
111,3583.69,0.63648,0.35777,1.0083,0.99365,0.9838,0.98999,0.87487,0.54864,0.24669,0.8573,0.00637,0.00637,0.00637
112,3618.44,0.62758,0.35322,1.00529,0.99324,0.9838,0.9874,0.8698,0.54073,0.24456,0.85701,0.006337,0.006337,0.006337
113,3652.75,0.6307,0.35492,0.99991,0.99563,0.98332,0.98811,0.87239,0.53736,0.24499,0.85582,0.006304,0.006304,0.006304
114,3687.2,0.63253,0.35002,1.00547,0.99395,0.98272,0.98757,0.87221,0.54283,0.24668,0.85736,0.006271,0.006271,0.006271
115,3722.37,0.62857,0.35262,1.00054,0.99562,0.98239,0.98684,0.8709,0.54885,0.24918,0.8608,0.006238,0.006238,0.006238
116,3757.49,0.62729,0.34684,1.00334,0.99562,0.98267,0.98717,0.87303,0.54421,0.24473,0.85759,0.006205,0.006205,0.006205
117,3798.09,0.62045,0.34338,0.999,0.99082,0.98272,0.98778,0.87636,0.54253,0.24487,0.8535,0.006172,0.006172,0.006172
118,3833.86,0.62511,0.34995,1.00244,0.98908,0.98164,0.98716,0.87661,0.53916,0.24314,0.85993,0.006139,0.006139,0.006139
119,3867.52,0.61763,0.34256,1.00357,0.99511,0.98272,0.98707,0.87082,0.55334,0.24534,0.86293,0.006106,0.006106,0.006106
120,3902.45,0.62023,0.34531,1.00268,0.99562,0.98235,0.98746,0.87572,0.54355,0.24014,0.86226,0.006073,0.006073,0.006073
121,3940.62,0.62104,0.34395,1.00253,0.99441,0.98272,0.98704,0.87197,0.54428,0.24494,0.85927,0.00604,0.00604,0.00604
122,3974.32,0.61457,0.34086,1,0.99498,0.98164,0.98753,0.87923,0.54077,0.24401,0.85855,0.006007,0.006007,0.006007
123,4008.03,0.61955,0.34765,0.99837,0.99446,0.9838,0.9877,0.87753,0.54316,0.24307,0.85563,0.005974,0.005974,0.005974
124,4041.7,0.61347,0.34297,0.99966,0.99514,0.9838,0.99212,0.87878,0.53676,0.23708,0.85388,0.005941,0.005941,0.005941
125,4077.67,0.61234,0.34322,0.99966,0.99384,0.9838,0.98822,0.88111,0.53806,0.2362,0.85106,0.005908,0.005908,0.005908
126,4112.51,0.6245,0.34246,0.99671,0.9949,0.9838,0.99129,0.88002,0.53996,0.23467,0.8511,0.005875,0.005875,0.005875
127,4147.47,0.61626,0.34419,0.99427,0.99395,0.98164,0.99173,0.8799,0.53841,0.23548,0.85085,0.005842,0.005842,0.005842
128,4182.63,0.6127,0.3432,0.99622,0.99188,0.98164,0.98889,0.88136,0.53329,0.23429,0.84988,0.005809,0.005809,0.005809
129,4216.62,0.61029,0.34049,0.99566,0.99346,0.98056,0.9893,0.87915,0.53513,0.23652,0.84924,0.005776,0.005776,0.005776
130,4250.06,0.60951,0.33669,0.99318,0.99434,0.98164,0.98836,0.88076,0.5367,0.23998,0.85101,0.005743,0.005743,0.005743
131,4286.6,0.60572,0.33247,0.99069,0.99563,0.98327,0.98786,0.87866,0.53472,0.2381,0.85129,0.00571,0.00571,0.00571
132,4322,0.61206,0.34563,1.0023,0.99345,0.98319,0.98852,0.88642,0.52581,0.23302,0.84838,0.005677,0.005677,0.005677
133,4356.79,0.59501,0.33387,0.99329,0.99517,0.98164,0.99021,0.88151,0.53855,0.23646,0.85184,0.005644,0.005644,0.005644
134,4390.21,0.6023,0.33675,0.99695,0.99293,0.98164,0.99157,0.88479,0.53367,0.238,0.85237,0.005611,0.005611,0.005611
135,4423.64,0.60651,0.33682,0.9923,0.99453,0.98093,0.9917,0.88421,0.53304,0.23597,0.84912,0.005578,0.005578,0.005578
136,4458.86,0.59956,0.33323,0.98863,0.99128,0.98235,0.99188,0.88667,0.53169,0.23792,0.84917,0.005545,0.005545,0.005545
137,4495.62,0.60634,0.34108,0.99658,0.99324,0.98272,0.99108,0.88175,0.53533,0.23402,0.85031,0.005512,0.005512,0.005512
138,4532.66,0.60734,0.33817,0.99738,0.99392,0.9838,0.99096,0.87772,0.53042,0.23589,0.85124,0.005479,0.005479,0.005479
139,4568.76,0.5988,0.33401,0.99572,0.99453,0.98246,0.99239,0.87756,0.54146,0.23636,0.8535,0.005446,0.005446,0.005446
140,4602.12,0.59729,0.33282,0.99424,0.99453,0.98163,0.9922,0.88085,0.53707,0.23613,0.85039,0.005413,0.005413,0.005413
141,4636.34,0.59601,0.33048,0.99399,0.995,0.9838,0.99174,0.87847,0.53754,0.23313,0.85151,0.00538,0.00538,0.00538
142,4673.74,0.59094,0.3266,0.98732,0.99454,0.98327,0.99152,0.88003,0.53732,0.23003,0.85023,0.005347,0.005347,0.005347
143,4708.25,0.59847,0.32755,0.99027,0.99346,0.98445,0.9913,0.8797,0.52981,0.23235,0.84901,0.005314,0.005314,0.005314
144,4744.02,0.58589,0.32977,0.99257,0.99312,0.98272,0.98964,0.88346,0.52601,0.23394,0.84985,0.005281,0.005281,0.005281
145,4782.2,0.59161,0.32564,0.99144,0.99236,0.98171,0.99063,0.88706,0.52252,0.23138,0.84747,0.005248,0.005248,0.005248
146,4818.61,0.59088,0.3257,0.9872,0.99312,0.9838,0.98995,0.88599,0.52103,0.2278,0.84722,0.005215,0.005215,0.005215
147,4853.66,0.58668,0.32684,0.98379,0.99541,0.98272,0.98885,0.88726,0.52753,0.23047,0.84916,0.005182,0.005182,0.005182
148,4889.61,0.58491,0.32259,0.98415,0.9951,0.9838,0.9911,0.88569,0.5291,0.22746,0.84903,0.005149,0.005149,0.005149
149,4923.16,0.5905,0.32525,0.99036,0.99366,0.9838,0.9919,0.88748,0.52405,0.22539,0.84807,0.005116,0.005116,0.005116
150,4959.71,0.59086,0.3248,0.99403,0.99671,0.98242,0.99225,0.88862,0.52226,0.22464,0.84793,0.005083,0.005083,0.005083
151,4996.79,0.59256,0.32418,0.98762,0.99527,0.9838,0.99171,0.88735,0.51898,0.222,0.84605,0.00505,0.00505,0.00505
152,5030.63,0.58987,0.32531,0.98133,0.99569,0.98164,0.9913,0.88516,0.5239,0.22515,0.84654,0.005017,0.005017,0.005017
153,5062.28,0.58967,0.32477,0.99155,0.99453,0.98207,0.99171,0.89015,0.51893,0.22752,0.84464,0.004984,0.004984,0.004984
